Latitude,Longitude,Deaths
28.251,55.462,22
35.121,70.486,11
-26.39,27.349,10
15.679,121.172,2412
36.415,70.789,43
36.636,49.799,20
36.957,49.409,40000
45.841,26.668,14
-6.016,-77.229,200
5.121,32.145,31
35.986,100.245,126
28.925,66.331,11
-32.967,151.619,12
36.788,2.448,30
39.893,113.884,29
37.036,-121.883,62
-4.511,139.022,120
30.167,50.921,114
29.987,99.195,11
38.465,68.694,274
40.987,44.185,25000
22.789,99.611,738
26.755,86.616,998
-8.247,124.155,125
0.083,-77.785,5000
23.901,121.574,15
13.827,-89.118,1100
37.014,22.176,20
37.993,37.806,15
-13.41,-71.785,16
40.301,69.823,29
18.19,-102.533,9500
-4.13,136.049,10
39.431,75.224,71
25.926,102.871,23
-33.132,-71.708,180
24.641,92.891,20
